Date,Time,Location,Operator,Flight No,Route,AC Type,Registration,CN / LM,Aboard,Fatalities,Ground,Summary,Latitude,Longitude
"April 01, 1935",?,"Beauvais, France",Air France,?,?,Farman F-300,F-ALHQ,?,3,1,0,"Chief pilot of Air France, Robert Bajac, 36, killed.",49.42953869999999,2.0807123
"April 01, 1936",19:10,"Pavillon, New York",American Airlines,?,"Newwark, N.J. - Buffalo, NY",Stinson Model A,NC15152,?,2,2,0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.,42.8761123,-78.0228829
"April 01, 1946",10:00,"near Craigavad, Northern Ireland",Railway Air Services Ltd.,?,Liverpool - Belfast,de Hvilland 89A Dragon Rapide,G-AERZ,?,6,6,0,Crashed 5 miles north northeast of belfast while attempting to land in advese weather. Pilot error. The pilot failed to maintain a course necessary to avoid higher terrain.,54.65307,-5.764296
"April 01, 1956",19:20,"Pittsburgh, Pennsylvania",Trans World Airlines,400,Pittsburgh - Newark,Martin 404,N40403,14103,36,22,0,"The aircraft yawed to the left and crashed shortly after takeoff after a fire warning occurred on the No.1 engine. The cause of the fire warning was a failed exhaust connector clamp in the left engine, which triggered an adjacent fire detecting unit. A windmilling left propeller, the extended landing gear, and the takeoff flaps produced sufficient drag to make the airplane lose altitude and strike the ground. An uncoordinated emergency action in a very short time available to the crew, which produced an aircraft configuration with insurmountable drag.",40.44062479999999,-79.9958864
"April 01, 1967",15:50,"Phelan, California",Ace Flying Service,?,?,Piper PA-30,N7979Y,?,2,2,0,The aircraft struck a mountain. Continued VFR flight into adverse weather conditions.,34.426288,-117.5725628
"April 01, 1968",?,"Off Phu Quoc, Vietnam",Military - U.S. Navy,?,?,Lockheed P-3B Orion,153445,185-5241,12,12,0,Shot down by enemy fire.,10.1586245,103.98402
"April 01, 1970",04:07,"Novosibirsk, Russia",Aeroflot,1661,Krasnoyarsk - Novosibirs,Antonov AN-24V,CCCP-47751,79901204,45,45,0,The aircraft crashed after colliding with a weather balloon and disintegrated in the air.,55.00835259999999,82.9357327
"April 01, 1970",08:16,"Casablanca, Morocco",Royal Air Maroc,?,Agadir - Casablanca,Aerospatiale Caravelle 3,CN-CCV,032/33,82,61,0,The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.,33.5731104,-7.589843399999999
"April 01, 1981",?,"Mt. Hagen, Papua, New Guinea",Talair,?,?,Cessna 402,P2-GKJ,?,8,8,0,?,-5.8581876,144.2429343
"April 01, 1987",21:30,"Anchorage, Alaska",Air Taxi,?,Local Flight,Cessna 402,N967JW,4020067,2,2,0,The aircraft was on the last leg of a commuter flight when it crashed in a heavily wooded area while making a VFR approach to Merrill Field. The plane struck the ground in a near vertical attitude. Fuel starvation. Auxiliary tank had fuel but the engines could not be restarted from those tanks.,61.2180556,-149.9002778
