Date,Time,Location,Operator,Flight No,Route,AC Type,Registration,CN / LM,Aboard,Fatalities,Ground,Summary,Latitude,Longitude,Country Code
"April 01, 1935",?,"Beauvais, France",Air France,?,?,Farman F-300,F-ALHQ,?,3,1,0,"Chief pilot of Air France, Robert Bajac, 36, killed.",49.42953869999999,2.0807123,FR
"April 01, 1936",19:10,"Pavillon, New York",American Airlines,?,"Newwark, N.J. - Buffalo, NY",Stinson Model A,NC15152,?,2,2,0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.,42.8761123,-78.0228829,US
"April 01, 1946",10:00,"near Craigavad, Northern Ireland",Railway Air Services Ltd.,?,Liverpool - Belfast,de Hvilland 89A Dragon Rapide,G-AERZ,?,6,6,0,Crashed 5 miles north northeast of belfast while attempting to land in advese weather. Pilot error. The pilot failed to maintain a course necessary to avoid higher terrain.,54.65307,-5.764296,GB
"April 01, 1956",19:20,"Pittsburgh, Pennsylvania",Trans World Airlines,400,Pittsburgh - Newark,Martin 404,N40403,14103,36,22,0,"The aircraft yawed to the left and crashed shortly after takeoff after a fire warning occurred on the No.1 engine. The cause of the fire warning was a failed exhaust connector clamp in the left engine, which triggered an adjacent fire detecting unit. A windmilling left propeller, the extended landing gear, and the takeoff flaps produced sufficient drag to make the airplane lose altitude and strike the ground. An uncoordinated emergency action in a very short time available to the crew, which produced an aircraft configuration with insurmountable drag.",40.44062479999999,-79.9958864,US
"April 01, 1967",15:50,"Phelan, California",Ace Flying Service,?,?,Piper PA-30,N7979Y,?,2,2,0,The aircraft struck a mountain. Continued VFR flight into adverse weather conditions.,34.426288,-117.5725628,US
"April 01, 1968",?,"Off Phu Quoc, Vietnam",Military - U.S. Navy,?,?,Lockheed P-3B Orion,153445,185-5241,12,12,0,Shot down by enemy fire.,10.1586245,103.98402,VN
"April 01, 1970",04:07,"Novosibirsk, Russia",Aeroflot,1661,Krasnoyarsk - Novosibirs,Antonov AN-24V,CCCP-47751,79901204,45,45,0,The aircraft crashed after colliding with a weather balloon and disintegrated in the air.,55.00835259999999,82.9357327,RU
"April 01, 1970",08:16,"Casablanca, Morocco",Royal Air Maroc,?,Agadir - Casablanca,Aerospatiale Caravelle 3,CN-CCV,032/33,82,61,0,The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.,33.5731104,-7.589843399999999,MA
"April 01, 1981",?,"Mt. Hagen, Papua, New Guinea",Talair,?,?,Cessna 402,P2-GKJ,?,8,8,0,?,-5.8581876,144.2429343,PG
"April 01, 1987",21:30,"Anchorage, Alaska",Air Taxi,?,Local Flight,Cessna 402,N967JW,4020067,2,2,0,The aircraft was on the last leg of a commuter flight when it crashed in a heavily wooded area while making a VFR approach to Merrill Field. The plane struck the ground in a near vertical attitude. Fuel starvation. Auxiliary tank had fuel but the engines could not be restarted from those tanks.,61.2180556,-149.9002778,US
"April 01, 1991",15:00,"Off San Pedro, Belize",Tropic Air - Air Taxi,?,Zeldiver - San Pedro,Cessna 402B,N402BL,402B0827,8,8,0,The air taxi crashed into the Caribbean.,17.189877,-88.49765,BZ
"April 01, 1993",16:15,"Aspen, Colorado",Air Taxi - Sea Pacific Inc.,?,?,Aerospatiale SA316B,N3153R,1484,4,3,0,"While in cruise flight at an altitude of 150 to 200 feet agl, the surviving passenger heard abnormal sounds from the helicopter which then began a descending right bank into trees. Examination of the helicopter disclosed fatigue failure of the lower mixing unit and a fatigue crack in the upper mixing unit on the flight control system.",39.1910983,-106.8175387,US
"April 01, 1993",21:28,"Blountville, Tennesee",Private,?,"Bristol, TN - Blountville, TN",Fairchild SA227-TT,N500AK,TT-527,4,4,0,"The Hooters Restaurant private plane crashed 0.5 miles outside the Outer Marker while attempting to land at the Tri-Cities airport near Bristol, Tennessee. NASCAR Winston Cup Champion Alan Kulwicki, 38, killed. Failure of the pilot to follow procedures concerning use of the engine inlet anti-icing system while operating  in icing conditions, which resulted in ice ingestion and loss of engine power. Failure of the pilot to maintain airspeed while coping with the engine problem.",36.5331586,-82.32680599999999,US
"April 01, 1997",?,"Tegucigalpa, Honduras",Military - U.S. Air Force,?,Howard AFB - Tegucigalpa,Lockheed C-130H Hercules,88-4408,5161,10,3,0,"While landing the aircraft overran the runway, hit a concrete drainage ditch, when through a fence and came to rest on a highway where it caught fire.",14.0722751,-87.19213599999999,HN
"April 01, 2000",08:00,"Near Gualeguaychu, Argentina",Taxval,?,?,Cessna 208 Caravan,LV-ZSR,208-00311,1,1,0,Crashed shortly after taking off in fog. The pilot was not qualified to fly in IFR conditions.,-33.0077778,-58.5111667,AR
"April 01, 2002",07:25,"Near Cairns, QLD, Australia",Air Taxi,?,Cairns - Hicks Island,Shrike Commander 500S,VH-UJB,3152,4,4,0,"Crashed into low terrain while en route. Why the pilot continued flight into marginal weather conditions at an altitude that was insufficient to ensure terrain clearance, could not be established.",-16.9185514,145.7780548,AU
"April 01, 2009",14:00,"Off Crimond, Scotland",Bond Offshore Helicopters,?,Miller field - Aberdeen,Eurocopter AS 332L2 Super Puma 2,G-REDL,?,16,16,0,The helicopter crashed 35 miles East of Crimond in the North Sea while transporting oil workers. A mayday was received prior to the crash. Catastrophic failure of the main rotor gearbox.,57.601426,-1.916038,GB
"April 02, 1951",?,"Bogota, Colombia",AVIANCA,?,?,Douglas DC-3,HK-142,1957,26,26,0,?,4.710988599999999,-74.072092,CO
"April 02, 1955",?,"Off Pensacola, Florida",Aaxico Airlines,?,"Mobile, AL - Macon, GA",Curtiss C-46A,N51424,30430,2,2,0,The cargo plane flew into a thunderstorm and crashed into the sea while en route.,27.6648274,-81.5157535,US
"April 02, 1956",08:10,"Seattle, Washington",Northwest Orient Airlines,2,Seattle - Portland,Boeing 377 Stratocruiser 10-30,N74608,15954,38,5,0,The aircraft experienced extreme buffeting after taking off from Seattle. A decision was made to divert to McChord AFB but the plane continued to loose altitude and had to be ditched in Puget Sound 4.7 nautical miles southwest of Seattle. The plane sank within 15 minutes. The incorrect analysis of control difficulty which occurred on retraction of the wing flaps as a result of the flight engineer's failure to close the engine cowl flaps; the analysis having been made under conditions of urgency and within an extremely short period of time available for decision.,47.6062095,-122.3320708,US
"April 02, 1958",?,"Quito, Ecuador",Transportes Aereos Orientales,?,Quito - Esmeraldas,Junkers JU-52/3m,HC-SND,J5109,14,3,0,Crashed after experiencing engine trouble.,-0.1806532,-78.4678382,EC
"April 02, 1967",?,"Off Lima, Peru",Caribbean Airlines,?,?,Lockheed 18 Lodestar,N706G,?,5,5,0,Ditched in the ocean.,-12.1318439,-76.97902789999999,PE
"April 02, 1969",12:40,"Near Quang Tri, South Vietnam",Military - U.S. Army,?,?,Boeing Vertol CH47C (helicopter),67-18523,?,78,24,0,"As the helicopter was taking off in a vertical climb, there was a loss in rotor speed and the aircraft touched down on the edge of a ravine and rolled over causing the rotor blades to strike the ground and a fire to erupt.",16.7943472,106.963409,VN
"April 02, 1969",12:50,"Off New Providence Island, Bahamas",Islands of the Bahamas Inc,?,?,Curtiss C-46F,N3914,22445,2,2,0,The cargo aircraft crashed into the ocean after a reported fire.,25.0519283,-77.4013403,BS
"April 02, 1969",16:08,"Zawoja, Poland",LOT Polish Airlines,165,Warsaw - Cracow,Antonov AN-24V,SP-LTF,67302406,53,53,0,The aircraft was on a flight from Warsaw to Cracow when it crashed into the Babia Gora mountains. The aircraft deviated from its normal route in heavy fog for unknown reasons.,49.6680859,19.5821187,PL
"April 02, 1970",00:55,"Cambridge, Maryland",East Coast Air - Air Taxi,?,"Teterboro, NJ - Cambridge, MD",Piper PA-32,N3241W,?,3,3,0,Collided with trees while attempting to land in fog.  Either misread or failed to read instruments correctly.,38.5631744,-76.0788292,US
"April 02, 1976",?,"Near Puerto Asis, Colombia",SATENA,?,Florencia - Puerto Asis,Douglas DC-3,FAC-676,?,16,5,0,Crashed into a lake while on approach.,0.504929,-76.500191,CO
"April 02, 1986",?,"Near Athens, Greece",Trans World Airlines,840,Rome - Athens,Boeing B-727,N54340,20845/1066,121,4,0,Detonation of a explosive device in the passenger compartment causing four passengers to be sucked out.  The plane landed safely at Athens. The plastic explosive was left under a seat by a woman carrying a Lebanese passport.,37.9838096,23.7275388,GR
"April 02, 1986",?,"Near Magdalena, New Mexico",Military - U.S. Air Force,?,?,Lockheed HC-130P Hercules,66-0211,4161,11,11,0,Lost a wing in heavy turbulence at low altitude.,34.1167305,-107.2439251,US
"April 02, 1987",17:30,"Near Skien, Norway",Scanex Air,?,"Hanover, West Germany - Skien, Norway",Beechcraft King Air C90,LN-KCR,LJ-0793,10,10,0,Crashed on approach five miles from it's destination.,59.2089131,9.605752599999999,NO
