"Douglas DC-3","26","26","1.0"
"Boeing 377 Stratocruiser 10-30","38","5","0.13157894736842105"
"Boeing Vertol CH47C (helicopter)","78","24","0.3076923076923077"
"Douglas DC-3","16","5","0.3125"
"Boeing B-727","121","4","0.03305785123966942"
"McDonnell Douglas DC-9-15","11","11","1.0"
"Douglas DC-3","25","25","1.0"
"Douglas DC-3","24","24","1.0"
"Boeing B-737-T43","35","35","1.0"
"Douglas C-54A","4","4","1.0"
"Douglas DC-6","3","3","1.0"
"Douglas DC-4","84","78","0.9285714285714286"
"McDonnell Douglas DC-9-31","85","62","0.7294117647058823"
"McDonnell Douglas DC-9-32","45","27","0.6"
"Douglas C-47B-15-DK","7","6","0.8571428571428571"
"Douglas C-47A","3","3","1.0"
"Boeing B-727-81","50","1","0.02"
"Boeing B-747-200","112","2","0.017857142857142856"
"Douglas DC-3","22","22","1.0"
"Douglas C-47","31","31","1.0"
"Douglas C-47A","7","7","1.0"
"McDonnell Douglas MD-11","264","2","0.007575757575757576"
"Douglas DC-2-112","15","13","0.8666666666666667"
"Douglas DC-3","32","32","1.0"
"Boeing 737-4Q8","6","6","1.0"
"Douglas C-47A","27","27","1.0"
"Douglas C-47B-DK","21","21","1.0"
"Douglas DC-3","34","34","1.0"
"Boeing B-707-465","127","5","0.03937007874015748"
"Douglas DC-3","36","36","1.0"
"Douglas C-47","3","3","1.0"
"Douglas DC-3","16","16","1.0"
"Douglas C-47A","4","4","1.0"
"Douglas DC-3","30","26","0.8666666666666667"
"Douglas DC-3","18","18","1.0"
"Douglas DC-3-3A","35","35","1.0"
"Tupolev 154M","96","96","1.0"
"Douglas DC-4","69","52","0.7536231884057971"
"Douglas DC-4","39","35","0.8974358974358975"
"Douglas DC-3","22","10","0.45454545454545453"
"Douglas DC-3","15","15","1.0"
"Boeing B-727-27C","58","55","0.9482758620689655"
"Douglas DC-3C","24","24","1.0"
"Douglas DC-3","14","14","1.0"
"Boeing 707-351C","4","4","1.0"
"Airbus A300B4-203F","5","5","1.0"
"Boeing B-737-8GP","108","0","0.0"
"Douglas DC-3","20","20","1.0"
"Douglas DC-3 (C-47-DL)","25","7","0.28"
"Douglas C-47A","3","3","1.0"
"Douglas DC-4","18","18","1.0"
"Douglas C-47B","27","26","0.9629629629629629"
"Douglas C-47 (DC-3)","25","25","1.0"
"Douglas C-47A","40","39","0.975"
"Boeing B-737-200","11","11","1.0"
"McDonnell Douglas MD-11","3","3","1.0"
"Boeing B-767-200ER","166","128","0.7710843373493976"
"McDonnell Douglas DC-9-51","85","0","0.0"
"Douglas DC-3","30","30","1.0"
"Boeing B-727-227","89","0","0.0"
"Boeing 40","2","1","0.5"
"Douglas C-47A","2","2","1.0"
"Douglas C-124C Globemaster","9","9","1.0"
"Douglas DC-3","13","13","1.0"
"Douglas C-47","16","15","0.9375"
"Boeing B-737-2H4","131","131","1.0"
"Douglas C-47-DL","25","25","1.0"
"Douglas DC-6B","10","8","0.8"
"Boeing B-707-344C","128","123","0.9609375"
"Douglas C-47D","6","6","1.0"
"Boeing B-707-321B","109","2","0.01834862385321101"
"Boeing B-727-230","53","53","1.0"
"Boeing B-707-3J9C","169","3","0.01775147928994083"
"Boeing 737-236","127","127","1.0"
"Douglas DC-3","20","9","0.45"
"Douglas C-54D","35","35","1.0"
"Douglas DC-7 / F-100F","49","49","1.0"
"Douglas M-4","1","1","1.0"
"Douglas DC-3 (C-47DL) /Vultee BT-13","10","10","1.0"
"Douglas C-54B","35","35","1.0"
"Douglas C-47A-1","40","40","1.0"
"Boeing B-707-321C","107","107","1.0"
"Douglas DC-3","25","25","1.0"
"Douglas DC-6A","5","5","1.0"
"Douglas DC-3","33","1","0.030303030303030304"
"Douglas DC-4 /Beechcraft SMB-1","43","43","1.0"
"Boeing B-727-64","146","146","1.0"
"Douglas DC-3 (C-47A-30-DK)","24","7","0.2916666666666667"
"Boeing B-737-2A8","118","56","0.4745762711864407"
"Airbus A300B4-622R","271","264","0.974169741697417"
"Douglas DC-3","18","17","0.9444444444444444"
"Boeing B-727-95","88","37","0.42045454545454547"
"Douglas DC-3","11","11","1.0"
"Douglas DC-3","13","13","1.0"
"Douglas C-47A-5-DK","17","15","0.8823529411764706"
"Boeing B-737-297","95","1","0.010526315789473684"
"Boeing 377-10-26 Stratocruiser","50","50","1.0"
"Douglas DC-3","28","28","1.0"
"Douglas C-118A","12","8","0.6666666666666666"
"Boeing B-737-200","7","7","1.0"
"Boeing B-747-428BCF","7","7","1.0"
"Douglas C-47A","12","12","1.0"
"Douglas DC-3","9","9","1.0"
"Douglas C-47A-30-DK","11","5","0.45454545454545453"
"Boeing 247D","12","12","1.0"
"Douglas C-47","6","6","1.0"
"Douglas DC-3","10","10","1.0"
"Douglas DC-8-43F","7","3","0.42857142857142855"
"McDonnell Douglas DC-8","95","13","0.1368421052631579"
"Boeing 707-373","5","5","1.0"
"Airbus A-340","309","0","0.0"
"Douglas C-47A-DL","28","28","1.0"
"Douglas DC-3","30","5","0.16666666666666666"
"Douglas DC-3","25","1","0.04"
"Douglas DC-3","6","6","1.0"
"Douglas DC-47","20","20","1.0"
"Boeing B-707-321C","188","188","1.0"
"Douglas C-54D","7","7","1.0"
"Boeing B-737-2A1","33","2","0.06060606060606061"
"Boeing B-29MR","20","12","0.6"
"Douglas DC-3","11","5","0.45454545454545453"
"Boeing 777-31H","300","0","0.0"
"Douglas DC-3","27","27","1.0"
"Boeing B-747-300","254","228","0.8976377952755905"
"Boeing CH-47 Chinook","38","38","1.0"
"Douglas C-47-DL","27","27","1.0"
"Douglas C-47A-10-DK","16","3","0.1875"
"Boeing B-727-224","131","0","0.0"
"Tupolev TU-154B-1","168","1","0.005952380952380952"
"McDonnell Douglas DC-8-61F","4","4","1.0"
"Douglas DC-3C","5","3","0.6"
"Douglas DC-2","2","2","1.0"
"Douglas DC-3","22","12","0.5454545454545454"
"Douglas DC-2-115H","13","2","0.15384615384615385"
"Douglas DC-3F","5","1","0.2"
"Douglas C-47B","2","2","1.0"
"Douglas C-47B","12","12","1.0"
"Douglas C-54E","33","11","0.3333333333333333"
"Boeing B-737-2H6","65","65","1.0"
"Douglas DC-2","9","4","0.4444444444444444"
"Douglas DF-151","6","6","1.0"
"Airbus A300B4-622R","160","0","0.0"
"Douglas C-53","3","3","1.0"
"Douglas DC-2-243","16","16","1.0"
"Douglas DC-3D","5","5","1.0"
"Douglas DC-4","79","79","1.0"
"Douglas DC-4","11","10","0.9090909090909091"
"Tupolev TU-104","100","100","1.0"
"Tupolev TU-134A / Tupolev Tu-134A","178","178","1.0"
"Douglas DC-3","3","3","1.0"
"Douglas DC-3","24","24","1.0"
"Douglas DC-3","3","3","1.0"
"Douglas DC-3","33","33","1.0"
"Douglas C-47-DL","27","27","1.0"
"Boeing B-747-SR46","524","520","0.9923664122137404"
"Douglas C-47","32","32","1.0"
"Douglas DC-8-51","6","6","1.0"
"Douglas C-47A","5","1","0.2"
"Let 410UVP Turbojet / Tupolev TU-134V","11","11","1.0"
"Douglas DC-4","3","1","0.3333333333333333"
"Boeing 737-31S","121","121","1.0"
"Airbus A300F-622R","2","2","1.0"
"Douglas DC-3 (C-54A-DO)","58","8","0.13793103448275862"
"Tupolev TU-104-A","64","64","1.0"
"Boeing 707-123","5","5","1.0"
"Douglas C-47A","3","2","0.6666666666666666"
"Boeing 707-336C","73","3","0.0410958904109589"
"Boeing B-727-22","30","30","1.0"
"Douglas DC-3 (C-47A-DK)","31","26","0.8387096774193549"
"McDonnell Douglas MD-82","155","154","0.9935483870967742"
"Boeing B-737-2A8","69","69","1.0"
"McDonnell Douglas MD-82","160","160","1.0"
"Boeing B-737-73V","131","2","0.015267175572519083"
"Douglas DC-3","10","10","1.0"
"Boeing Vertol CH-47A (helicopter)","37","37","1.0"
"McDonnell Douglas DC-8-61","3","0","0.0"
"Douglas DC-3","32","24","0.75"
"Douglas DC-3","32","32","1.0"
"Douglas C-47A","3","3","1.0"
"Douglas DC-3","8","8","1.0"
"McDonnell Douglas DC-8-33","105","15","0.14285714285714285"
"McDonnell Douglas MD-82","172","154","0.8953488372093024"
"Boeing B-737-210C(A) Combi","15","12","0.8"
"Douglas C-47-DL","25","2","0.08"
"Tupolev Tu-124","52","0","0.0"
"Douglas DC-6","59","1","0.01694915254237288"
"Douglas DC-3","19","12","0.631578947368421"
"Douglas C-47A-25-DK","4","4","1.0"
"Douglas DC-3","17","16","0.9411764705882353"
"Boeing B-737-222","110","110","1.0"
"Boeing B-737-236","137","55","0.40145985401459855"
"McDonnell Douglas MD-11","315","3","0.009523809523809525"
"Tupolev Tu-154M","170","170","1.0"
"Douglas DC-2","3","3","1.0"
"Douglas DC-3","15","15","1.0"
"Douglas DC-6B","21","21","1.0"
"Douglas DC-3","32","20","0.625"
"Douglas DC-4","5","5","1.0"
"Airbus A320-212","143","143","1.0"
"Boeing B-737-244","98","40","0.40816326530612246"
"Douglas DC-2","17","14","0.8235294117647058"
"Douglas DC-6B","50","50","1.0"
"Douglas DC-3","9","9","1.0"
"McDonnell Douglas MD-90-30","96","1","0.010416666666666666"
"Airbus A-330-243","304","0","0.0"
"Tupolev 134A-3","41","41","1.0"
"Tupolev 154B-2","46","46","1.0"
"Boeing B-737-219","90","68","0.7555555555555555"
"Douglas C-47B","12","12","1.0"
"Douglas C-47B","1","1","1.0"
"Douglas DC-3","13","13","1.0"
"Boeing Vertol CH47B (helicopter)","32","30","0.9375"
"Douglas DC-3","7","7","1.0"
"Douglas C-47B-5-DK","20","5","0.25"
"Douglas C-47-DL","34","34","1.0"
"Boeing KC-135A","7","7","1.0"
"Tupolev TU-134A","84","84","1.0"
"Douglas C-54A-DC (DC-4)","20","20","1.0"
"Boeing KC-135A / Boeing KC-135A","11","11","1.0"
"Boeing B-707-331B","149","1","0.006711409395973154"
"Douglas DC-2-115B","4","2","0.5"
"Douglas DC-6B","22","15","0.6818181818181818"
"Douglas DC-3","12","12","1.0"
"Tupolev TU-124","63","63","1.0"
"Tupolev TU-154M","141","141","1.0"
"Tupolev TU-154M","91","70","0.7692307692307693"
"Douglas C-47A","3","2","0.6666666666666666"
"Douglas C-47","20","20","1.0"
"Tupolev TU-134A","90","90","1.0"
"Boeing B-737-2H7C","116","2","0.017241379310344827"
"Boeing B-737-291","3","3","1.0"
"Douglas DC-3","25","25","1.0"
"Douglas DC-3 (Douglas C-47A-10-DK)","13","13","1.0"
"MD Douglas DC-9-32 / Piper PA-28-181","67","67","1.0"
"Boeing B-737-2P5","83","83","1.0"
"Boeing B-727-232 Adv","108","14","0.12962962962962962"
"Douglas DC-3","17","3","0.17647058823529413"
"Boeing B-737-204C","103","64","0.6213592233009708"
"Douglas DC-3","17","9","0.5294117647058824"
"Douglas DC-3 (C-47-DL)","22","20","0.9090909090909091"
"Douglas DC-3","8","8","1.0"
"Douglas DC-3","6","6","1.0"
"Boeing B-727-231","92","92","1.0"
"Boeing B-727-251","3","3","1.0"
"McDonnell Douglas MD-81","180","180","1.0"
"Douglas M-3","1","1","1.0"
"Tupolev TU-114B","21","21","1.0"
"Tupolev TU-154B","165","59","0.3575757575757576"
"Boeing B-727-251 / MD Douglas DC-9-14","198","8","0.04040404040404041"
"Boeing B-737-2K9","78","72","0.9230769230769231"
"Douglas DC-3A","16","10","0.625"
"Douglas DC-3A","3","3","1.0"
"Douglas DC-3","28","28","1.0"
"Boeing 720-030B","3","3","1.0"
"Boeing B-707-131B / L1049C Constellation","112","4","0.03571428571428571"
"Boeing B-707-328B","62","62","1.0"
