Date,Ground
11-Sep-01,5625
8-Jan-96,225
24-Dec-66,125
13-Oct-76,113
1-Feb-63,87
27-Jul-02,85
4-May-02,78
16-Mar-69,71
28-Aug-88,67
1-Aug-43,63
23-Aug-44,58
24-Aug-38,53
24-Jul-38,52
1-Mar-90,50
18-Sep-84,49
15-Apr-08,47
3-Sep-89,45
30-Jul-87,44
5-Dec-97,44
5-Sep-05,44
8-Apr-67,44
22-Sep-81,40
4-Oct-92,39
22-Dec-69,38
8-Nov-43,37
29-Jun-45,36
27-Mar-86,35
17-Aug-66,33
14-Mar-79,32
17-Dec-60,31
22-Oct-96,30
4-Oct-07,30
6-Sep-52,29
16-May-72,25
30-Nov-12,25
4-Feb-96,24
5-May-90,24
16-Jan-65,23
23-Mar-94,23
14-Dec-83,22
24-Sep-72,22
7-Oct-46,22
8-May-39,22
18-Feb-43,20
29-Sep-81,20
3-Feb-98,20
25-Dec-76,19
30-Jun-15,19
8-May-84,19
21-Mar-89,18
11-Jul-44,17
30-Jun-59,17
5-Apr-46,16
31-Aug-86,15
8-Jan-35,15
13-Jul-49,14
15-May-56,14
16-Nov-49,14
21-Mar-11,14
6-Dec-05,14
2-Feb-99,13
29-Nov-03,13
30-Mar-67,13
14-Sep-78,12
17-Jul-07,12
2-Jun-12,12
21-Dec-88,11
25-Mar-33,11
28-Jul-45,11
30-Jun-03,11
6-Feb-92,11
16-Sep-11,10
20-Oct-87,10
22-Dec-59,10
29-Aug-98,10
3-Jun-12,10
31-Aug-99,10
16-Apr-83,9
12-Dec-61,8
17-Dec-53,8
18-Mar-99,8
21-Jul-89,8
24-Dec-15,8
24-Nov-56,8
24-Nov-59,8
3-Jun-73,8
4-Apr-77,8
9-Jul-82,8
15-Jan-63,7
16-Feb-98,7
22-Jan-52,7
22-Jun-00,7
25-Sep-78,7
30-Jun-73,7
4-Nov-08,7
5-Aug-50,7
6-Mar-76,7
8-Mar-67,7
13-Jan-54,6
16-Apr-92,6
16-Dec-60,6
4-Jan-01,6
4-Nov-07,6
5-Jul-07,6
1-Oct-02,5
12-Nov-01,5
14-Dec-88,5
14-Jan-22,5
17-Jul-00,5
21-Oct-98,5
22-Nov-75,5
22-Oct-75,5
28-Aug-44,5
29-Nov-13,5
30-May-70,5
5-Mar-67,5
7-Feb-52,5
11-Feb-52,4
11-Oct-84,4
13-Jan-82,4
14-Jun-72,4
16-Mar-12,4
18-May-90,4
19-Jul-49,4
2-Sep-58,4
20-Jul-92,4
21-Jun-12,4
25-Jul-00,4
27-Jul-89,4
27-Nov-10,4
6-Oct-00,4
6-Sep-69,4
8-Oct-01,4
13-Dec-50,3
13-May-57,3
14-Dec-50,3
14-Dec-62,3
17-Dec-78,3
17-Jun-75,3
22-Aug-79,3
22-Jan-61,3
22-Mar-98,3
23-Jul-82,3
23-May-76,3
24-Apr-06,3
25-Dec-46,3
25-May-11,3
27-Nov-89,3
28-Dec-47,3
31-Jan-57,3
31-Oct-96,3
5-Apr-52,3
6-Aug-61,3
7-Jul-08,3
7-Mar-99,3
8-Sep-51,3
11-Nov-91,2
12-Feb-70,2
12-Feb-90,2
12-Jun-67,2
13-Apr-10,2
14-Feb-10,2
14-Mar-57,2
15-May-58,2
16-Aug-87,2
17-Sep-44,2
18-May-35,2
2-Oct-15,2
20-May-09,2
20-Sep-69,2
21-Dec-99,2
24-Mar-00,2
25-Jul-47,2
25-May-53,2
25-May-79,2
26-Mar-51,2
30-Jul-98,2
30-May-08,2
4-Apr-91,2
4-Jul-02,2
5-Jan-69,2
5-Mar-57,2
7-Dec-96,2
7-Mar-50,2
8-Dec-72,2
8-Nov-07,2
8-Oct-96,2
9-Aug-70,2
1-Feb-58,1
1-Jul-87,1
10-Sep-92,1
11-Dec-04,1
11-Jan-57,1
11-Jul-61,1
12-Aug-63,1
12-Feb-09,1
13-Aug-73,1
13-Jan-62,1
13-Mar-87,1
15-Apr-57,1
15-Dec-72,1
15-Feb-61,1
16-Dec-51,1
16-Feb-68,1
16-May-77,1
17-Jun-89,1
18-May-66,1
19-Nov-78,1
2-Aug-85,1
2-Jul-04,1
2-Jul-06,1
22-Feb-80,1
24-Aug-21,1
24-Mar-01,1
24-Sep-75,1
25-Dec-12,1
25-Jan-07,1
25-May-48,1
26-Aug-54,1
26-Oct-59,1
27-Dec-68,1
28-Feb-63,1
28-Jan-10,1
28-Mar-98,1
28-May-68,1
28-Sep-68,1
3-Jan-76,1
3-Jan-94,1
3-Mar-72,1
3-Nov-57,1
3-Sep-62,1
30-Nov-47,1
31-Oct-79,1
4-Jun-76,1
4-Nov-38,1
4-Sep-46,1
5-Aug-16,1
5-Jan-00,1
5-Oct-91,1
5-Sep-86,1
6-Jun-39,1
6-May-37,1
6-May-45,1
7-Feb-68,1
8-Apr-54,1
8-Dec-05,1
8-Sep-55,1
